"","Lot Frontage","Lot Area","Year Built","Year Remod/Add","Mas Vnr Area","BsmtFin SF 1","BsmtFin SF 2","Bsmt Unf SF","Total Bsmt SF","1st Flr SF","2nd Flr SF","Low Qual Fin SF","Gr Liv Area","Bsmt Full Bath","Bsmt Half Bath","Full Bath","Half Bath","Bedroom AbvGr","Kitchen AbvGr","TotRms AbvGrd","Fireplaces","Garage Yr Blt","Garage Cars","Garage Area","Wood Deck SF","Open Porch SF","Enclosed Porch","3Ssn Porch","Screen Porch","Pool Area","Misc Val","Mo Sold","Yr Sold","Longitude","Latitude","MS SubClass","MS Zoning","Street","Lot Shape","Land Contour","Utilities","Lot Config","Land Slope","Neighborhood","Condition 1","Condition 2","Bldg Type","House Style","Overall Qual","Overall Cond","Roof Style","Roof Matl","Exterior 1st","Exterior 2nd","Mas Vnr Type","Exter Qual","Exter Cond","Foundation","Bsmt Qual","Bsmt Cond","Bsmt Exposure","BsmtFin Type 1","BsmtFin Type 2","Heating","Heating QC","Central Air","Electrical","Kitchen Qual","Functional","Fireplace Qu","Garage Type","Garage Finish","Garage Qual","Garage Cond","Paved Drive","Sale Type","Sale Condition","SalePrice"
"12",85,10628,1970,1970,0,778,0,499,1277,1277,0,0,1277,1,0,1,0,2,1,5,1,1970,2,526,0,0,0,0,176,0,0,4,2007,-93.618503,42.051357,"020","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","7","5","Flat","Tar&Grv","Plywood","Plywood","None","TA","Gd","CBlock","TA","Gd","Gd","GLQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","Po","Attchd","Unf","TA","TA","Y","WD ","Normal","167000"
"13",93,11160,1968,1968,0,1065,0,1045,2110,2110,0,0,2110,1,0,2,1,3,1,8,2,1968,2,522,0,0,0,0,0,0,0,4,2010,-93.61732,42.051245,"020","RL","Pave","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","7","5","Hip","CompShg","BrkFace","BrkFace","None","Gd","TA","CBlock","TA","TA","No","ALQ","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","TA","Attchd","Fin","TA","TA","Y","WD ","Normal","244000"
"14",68,12925,1970,1970,0,865,0,340,1205,2117,0,0,2117,0,0,2,1,4,1,7,2,1970,2,550,0,42,0,0,0,0,0,5,2008,-93.6163289,42.051446,"020","RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","7","Gable","CompShg","BrkFace","Plywood","None","TA","TA","CBlock","TA","TA","Mn","BLQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Gd","Attchd","Fin","TA","TA","Y","WD ","Normal","237500"
"15",90,11727,1969,1969,434,0,0,1851,1851,1851,0,0,1851,0,0,2,0,3,1,8,1,1969,2,506,0,146,0,0,0,0,0,3,2006,-93.617432,42.050507,"020","RL","Pave","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","7","6","Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","Gd","CBlock","TA","TA","Mn","Unf","Unf","GasA","Gd","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","WD ","Normal","192100"
"16",85,11075,1969,1969,0,500,276,176,952,1092,1020,0,2112,0,0,2,1,4,1,9,2,1969,2,576,280,0,0,0,0,0,0,6,2008,-93.617424,42.049587,"060","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","2Story","6","5","Gable","CompShg","HdBoard","HdBoard","None","TA","TA","CBlock","Fa","TA","Mn","ALQ","LwQ","GasA","TA","Y","SBrkr","TA","Typ","Gd","Attchd","Unf","TA","TA","Y","WD ","Normal","206900"
"17",75,13860,1972,1995,0,1410,0,542,1952,2000,704,0,2704,1,0,2,1,4,1,9,3,1972,2,538,269,111,0,0,0,0,0,7,2009,-93.615524,42.049322,"080","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","SLvl","8","7","Gable","CompShg","Plywood","Wd Sdng","None","Gd","TA","CBlock","Gd","TA","Gd","GLQ","Unf","GasA","Gd","Y","SBrkr","Ex","Typ","TA","Attchd","Fin","TA","TA","Y","WD ","Normal","345000"
"18",95,13651,1973,1973,1115,1880,0,343,2223,2223,0,0,2223,1,0,2,0,3,1,8,2,1973,2,516,300,0,0,0,0,0,0,2,2007,-93.617273,42.049671,"020","RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","7","6","Gable","CompShg","Plywood","Plywood","BrkFace","TA","Gd","CBlock","Gd","TA","Gd","ALQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Gd","Attchd","Fin","TA","TA","Y","WD ","Normal","244000"
"19",95,15865,1970,1970,0,351,823,1043,2217,2217,0,0,2217,1,0,2,0,4,1,8,1,1970,2,621,81,207,0,0,224,0,0,10,2007,-93.61728,42.050443,"020","RL","Pave","IR1","Lvl","AllPub","Inside","Mod","NAmes","Norm","Norm","1Fam","1Story","8","6","Flat","Tar&Grv","Wd Sdng","Wd Sdng","None","Gd","Gd","PConc","TA","Gd","Gd","ALQ","Rec","GasA","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","Unf","TA","TA","Y","WD ","Normal","268000"
"20",74,13830,1997,1998,0,791,0,137,928,928,701,0,1629,0,0,2,1,3,1,6,1,1997,2,482,212,34,0,0,0,0,0,3,2010,-93.638933,42.060899,"060","RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","5","5","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Gd","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","WD ","Normal","189900"
"21",78,9978,1998,1998,20,602,0,324,926,926,678,0,1604,0,0,2,1,3,1,7,1,1998,2,470,360,36,0,0,0,0,0,6,2010,-93.638925,42.060779,"060","RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","6","Gable","CompShg","VinylSd","VinylSd","BrkFace","TA","TA","PConc","TA","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","WD ","Normal","195500"
"22",72,8702,1997,1998,0,706,0,220,926,926,678,0,1604,0,0,2,1,3,1,7,1,1997,2,470,0,36,0,0,0,0,0,4,2008,-93.639062,42.05996,"060","RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","5","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","TA","TA","No","BLQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","WD ","Normal","187500"
"23",60,8238,1997,1998,0,700,0,113,813,813,712,0,1525,1,0,2,1,3,1,6,1,1997,2,400,421,72,0,0,0,0,0,5,2006,-93.639067,42.059909,"060","RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","5","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","TA","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","WD ","Normal","183500"
"24",88,10179,1997,1997,0,847,0,98,945,945,663,0,1608,0,0,2,1,3,1,7,1,1997,2,470,252,30,0,0,0,0,0,7,2009,-93.639388,42.059956,"060","RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","5","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","No","ALQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","WD ","Normal","189500"
"25",68,11792,2003,2003,188,850,0,158,1008,1008,1275,0,2283,0,0,2,1,4,1,9,1,2003,3,632,120,46,0,0,0,0,0,8,2009,-93.639915,42.063294,"060","RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","8","5","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Gd","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","BuiltIn","Fin","TA","TA","Y","WD ","Normal","270000"
"26",68,12394,2003,2003,0,0,0,847,847,847,886,0,1733,0,0,2,1,3,1,7,1,2003,2,433,100,48,0,0,0,0,0,10,2007,-93.63988,42.061275,"060","RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Gd","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","BuiltIn","Fin","TA","TA","Y","WD ","Family","225000"
"27",68,13006,1997,1997,285,0,0,964,964,993,1243,0,2236,0,0,2,1,4,1,8,1,1997,2,642,0,0,0,0,0,0,0,11,2006,-93.637871,42.061407,"060","RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","TA","BuiltIn","Fin","TA","TA","Y","WD ","Normal","222000"
"28",65,8139,1995,1996,119,476,0,204,680,680,790,0,1470,0,0,2,1,3,1,7,1,1995,2,420,192,49,0,0,0,0,0,10,2008,-93.637796,42.061231,"060","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","5","Gable","CompShg","VinylSd","VinylSd","BrkFace","TA","TA","PConc","Gd","TA","No","ALQ","Unf","GasA","Gd","Y","SBrkr","TA","Typ","TA","BuiltIn","Fin","TA","TA","Y","WD ","Normal","165000"
"29",59,9535,1998,1998,0,851,0,75,926,926,678,0,1604,0,0,2,1,3,1,7,0,1998,2,472,100,82,0,0,0,0,0,5,2008,-93.638775,42.060771,"060","RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","5","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","Gd","GLQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","None","Attchd","Fin","TA","TA","Y","WD ","Normal","195500"
"30",59,9042,1998,1998,0,828,0,115,943,943,695,0,1638,1,0,2,1,3,1,7,2,1998,2,472,100,38,0,0,0,0,0,7,2008,-93.638778,42.060822,"060","RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","5","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","Gd","GLQ","Unf","GasA","Gd","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","WD ","Normal","192000"
"31",68,15038,1996,1996,0,138,0,778,916,916,720,0,1636,0,0,2,1,3,1,7,1,1996,2,386,168,84,0,0,0,0,0,11,2008,-93.637482,42.060369,"060","RL","Pave","IR2","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","5","Gable","CompShg","HdBoard","HdBoard","None","TA","TA","PConc","Gd","TA","No","Rec","Unf","GasA","Gd","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","WD ","Normal","173000"
"32",68,13041,1995,1995,0,0,0,781,781,781,890,0,1671,0,0,2,1,3,1,7,1,1995,2,423,0,84,0,0,0,0,0,2,2006,-93.637482,42.060425,"060","RL","Pave","IR2","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","5","Gable","CompShg","HdBoard","HdBoard","None","TA","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Gd","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","WD ","Normal","170000"
"33",68,13031,1995,1996,0,592,0,99,691,691,807,0,1498,0,0,2,1,3,1,6,1,1995,2,409,315,44,0,0,0,0,0,7,2006,-93.637566,42.06048,"060","RL","Pave","IR2","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","5","Gable","CompShg","HdBoard","HdBoard","None","TA","TA","PConc","Gd","TA","No","ALQ","Unf","GasA","Gd","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","WD ","Normal","187500"
"34",68,10364,1995,1996,0,0,0,806,806,806,766,0,1572,0,0,2,1,3,1,7,1,1995,2,373,0,40,0,0,0,0,0,5,2007,-93.63736,42.060466,"060","RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","5","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Gd","Y","SBrkr","TA","Typ","TA","BuiltIn","Fin","TA","TA","Y","WD ","Normal","168000"
"35",53,14137,1996,1997,0,450,0,898,1348,1384,0,0,1384,1,0,2,0,3,1,7,0,1996,2,404,0,39,0,0,0,0,0,11,2008,-93.636718,42.060639,"020","RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story","5","5","Gable","CompShg","HdBoard","HdBoard","None","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","None","Attchd","Unf","TA","TA","Y","WD ","Normal","177900"
"36",54,9783,1996,1996,0,0,0,821,821,821,955,0,1776,0,0,2,1,3,1,7,1,1996,2,443,286,116,0,0,0,0,0,5,2006,-93.636378,42.060736,"060","RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","5","Gable","CompShg","HdBoard","HdBoard","None","TA","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Gd","Y","SBrkr","TA","Typ","TA","BuiltIn","Fin","TA","TA","Y","WD ","Normal","202000"
"37",60,8400,1996,1997,32,284,0,100,384,958,670,0,1628,0,0,2,1,3,1,7,1,1996,2,390,48,72,0,0,0,0,490,6,2009,-93.6364,42.060896,"080","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","SLvl","7","5","Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Gd","Y","SBrkr","TA","Typ","TA","BuiltIn","Fin","TA","TA","Y","WD ","Normal","189000"
"38",57,21872,1996,1997,0,604,0,125,729,729,717,0,1446,0,1,2,1,3,1,6,1,1996,2,406,264,22,0,0,0,0,0,8,2008,-93.636948,42.0623,"060","RL","Pave","IR2","HLS","AllPub","FR2","Gtl","Gilbert","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","HdBoard","HdBoard","None","TA","TA","PConc","Gd","TA","Gd","GLQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","TA","Attchd","Unf","TA","TA","Y","WD ","Normal","175000"
"39",70,11207,1997,1997,0,714,0,88,802,802,709,0,1511,1,0,2,1,3,1,8,1,1997,2,413,95,75,0,0,0,0,0,6,2006,-93.636373,42.061879,"060","RL","Pave","IR1","HLS","AllPub","FR2","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","5","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Gd","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","WD ","Normal","185000"
"40",134,19378,2005,2006,456,57,0,1335,1392,1392,1070,0,2462,1,0,2,1,4,1,9,1,2006,2,576,239,132,0,168,0,0,0,3,2006,-93.636052,42.062828,"060","RL","Pave","IR1","HLS","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Mn","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","New","Partial","320000"
"41",50,14859,2006,2006,27,0,0,1670,1670,1670,0,0,1670,0,0,2,0,3,1,7,1,2006,3,690,144,60,0,0,0,0,0,8,2006,-93.635967,42.06281,"020","RL","Pave","IR1","HLS","AllPub","CulDSac","Gtl","Gilbert","Norm","Norm","1Fam","1Story","7","5","Hip","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","New","Partial","240000"
"42",50,13128,2005,2005,216,0,0,1074,1074,1074,990,0,2064,0,0,2,1,4,1,7,1,2005,2,527,0,119,0,0,0,0,0,1,2006,-93.635935,42.062802,"060","RL","Pave","IR1","HLS","AllPub","CulDSac","Gtl","Gilbert","Norm","Norm","1Fam","2Story","8","5","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","WD ","Normal","250000"
"43",72,10463,2005,2005,0,0,0,893,893,901,900,0,1801,0,0,2,1,3,1,8,1,2005,3,800,0,116,0,0,0,0,0,6,2006,-93.635837,42.062798,"060","RL","Pave","IR1","HLS","AllPub","CulDSac","Gtl","Gilbert","Norm","Norm","1Fam","2Story","8","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","WD ","Normal","239900"
"44",42,13751,2005,2006,248,60,0,1640,1700,1700,512,0,2212,1,0,2,1,3,1,9,1,2006,3,773,237,38,0,0,115,0,0,5,2006,-93.635798,42.062891,"060","RL","Pave","IR1","HLS","AllPub","CulDSac","Gtl","Gilbert","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","New","Partial","309000"
"45",42,14892,2006,2007,160,1320,0,426,1746,1746,0,0,1746,1,0,2,0,3,1,7,2,2006,3,758,201,39,0,0,0,0,0,10,2009,-93.635838,42.062956,"020","RL","Pave","IR1","HLS","AllPub","CulDSac","Gtl","Gilbert","Norm","Norm","1Fam","1Story","9","5","Gable","CompShg","VinylSd","VinylSd","Stone","Ex","TA","PConc","Ex","TA","Gd","GLQ","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Gd","Attchd","Fin","TA","TA","Y","WD ","Normal","377500"
"46",168,23257,2006,2006,0,0,0,868,868,887,1134,0,2021,0,0,2,1,3,1,9,1,2006,2,422,0,100,0,0,0,0,0,9,2006,-93.635932,42.062956,"060","RL","Pave","IR3","HLS","AllPub","CulDSac","Gtl","Gilbert","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Ex","Gd","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","BuiltIn","RFn","TA","TA","Y","New","Partial","274725"
"47",68,8530,1995,1996,22,0,0,384,384,804,670,0,1474,0,0,2,1,3,1,7,1,1995,2,400,120,72,0,0,0,0,700,5,2009,-93.637442,42.060598,"080","RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","SLvl","7","5","Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Gd","Y","SBrkr","TA","Typ","TA","BuiltIn","Fin","TA","TA","Y","WD ","Normal","168500"
"48",68,13869,1997,1997,0,182,0,612,794,794,676,0,1470,0,1,2,0,3,1,6,0,1997,2,388,0,75,0,0,0,0,0,7,2007,-93.636146,42.061664,"060","RL","Pave","IR2","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","6","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Gd","Y","SBrkr","TA","Typ","None","Attchd","Fin","TA","TA","Y","WD ","Normal","177000"
"49",57,8773,1997,1997,0,0,0,916,916,916,684,0,1600,0,0,2,1,3,1,7,1,1997,2,460,100,38,0,0,0,0,0,8,2007,-93.636972,42.061326,"060","RL","Pave","IR1","HLS","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","5","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","Av","Unf","Unf","GasA","Gd","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","WD ","Normal","169000"
"50",56,8872,1997,1997,0,0,0,384,384,754,630,0,1384,0,0,2,1,3,1,7,1,1997,2,390,0,0,0,0,0,0,0,3,2007,-93.637189,42.061242,"080","RL","Pave","IR1","HLS","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","SLvl","6","5","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Gd","Y","SBrkr","TA","Typ","TA","BuiltIn","Fin","TA","TA","Y","WD ","Normal","161500"
